,loss,grad,grad_fd,jit_time_fw,runtime_fw,jit_time_bw,runtime_bw
dfx_tsit5backsolve_1e-10_tol,-0.3017952456965567,0.1726703936127565,0.1714590223699241,16.58207213797141,6.755988051998429,135.8563876010012,90.8820386530133
dfx_tsit5_1e-12_tol,-0.301795222627779,0.1726698600126482,0.1714588491445179,14.387109171948396,16.74005970393773,74.98239633999765,122.610390560003
dfx_tsit5_1e-7_tol,-0.3017967362281183,0.1748815574694213,0.171405058693011,13.57272988697514,2.392971875029616,66.5610429099761,16.50417434796691
dfx_tsit5_1e-4_tol,-0.3011453358121659,-0.0805083116773111,0.231245218084683,12.959213316091336,1.0352286450797692,67.82110525504686,6.582098138984293
dfx_tsit5_1e-10_tol,-0.3017952264629544,0.1723869506354994,0.1714586006052537,18.006586364936084,7.654332075035199,74.38726492098067,55.88858632196207
dfx_tsit5_1e-5_tol,-0.3018649642407899,0.1853784684532533,0.1786789240942027,11.669546829070896,1.2769643070641905,64.95733857096639,8.328190863016061
mjx_euler_1e-2_timestep,-1.571686727811291,4.336281317049474,4.336221612592239,9.33260522200726,0.0579022379824891,32.97716822498478,0.2555204139789566
mjx_euler_3e-3_timestep,-0.4982944785192245,1.2764966751145796,-10.480666174466013,6.020448983064853,0.1668723800685256,31.263432777952403,0.8374443880748004
mjx_euler_1e-3_timestep,-0.2982783773274352,3.240441400144758,0.2329063816018939,5.736172049073502,0.5446243640035391,31.41504604695365,3.29241383401677
mjx_euler_3e-4_timestep,-0.2957421012003906,-0.6012215143840304,0.1295470656004049,5.81826428999193,1.7500792460050434,30.362787941936404,10.572141660028135
mjx_euler_1e-4_timestep,-0.2999631801336482,0.1324593160236998,0.1676198551730456,5.905542362015694,5.142008014954627,31.48587071395013,30.990282404934987
mjx_euler_3e-5_timestep,-0.301223848628157,0.1774616183985652,0.1707980153126259,5.522139296052046,17.105419518076815,31.698252432979643,102.53358124103396
mjx_rk4_1e-1_timestep,-6.964205683553178,1.3044444988505506,1.3021987328710516,15.276548246038146,0.0222413130104541,109.46248448209371,0.1214848579838872
mjx_rk4_3e-2_timestep,-2.0804649041511825,4.589905777505844,4.589790259112414,14.005332164932042,0.0657083279220387,106.94045451795682,0.303884697961621
mjx_rk4_1e-2_timestep,-0.4991588440844137,0.7624246682679078,0.7624128439460559,14.228149438044056,0.1562182570341974,105.78222895099316,0.9123142110183836
mjx_rk4_3e-3_timestep,-0.3128217514554545,0.9193076210277106,0.7639610799468122,14.838980652973987,0.6359045080607757,105.35133684601168,3.7645579379750416
mjx_rk4_1e-3_timestep,-0.2923268376759699,0.9279589813351952,-0.4131813732170392,17.87320665200241,1.9989571019541472,111.93060285097454,11.945824678055942
mjx_rk4_3e-4_timestep,-0.301583693482684,0.6243924300216119,0.1860209767923004,15.20720424107276,6.400100547936745,107.25213868997524,38.13590148603544
mjx_rk4_1e-4_timestep,-0.3017786855438817,0.1517888909055049,0.1709564437330252,15.375783995026724,19.09221912396606,108.96491129999048,113.69082480005454
mjx_implicit_1e-2_timestep,-1.5716867278112283,4.336281317049398,4.336221612592173,7.292694028001279,0.0666847979882732,33.845592201920226,0.2698324850061908
mjx_implicit_3e-3_timestep,-0.4982944785192219,1.2764966751146003,-10.48066617446613,5.708050659042783,0.163875172031112,33.070420796982944,0.9031941699795424
mjx_implicit_1e-3_timestep,-0.2982783773274401,3.2404414001418216,0.2329063816019799,5.844098034081981,0.6148306939285249,29.182712030014955,3.4046443469123915
mjx_implicit_3e-4_timestep,-0.2957421012003903,-0.6012215143839605,0.1295470656003217,6.068676183000207,1.9720928829628968,29.865079635055736,10.998473893967455
dfx_dopri8_1e-10_tol,-0.3017952222867653,0.1725592477081596,0.1714588395825916,16.54878070601262,9.023703385028057,76.00671069906093,64.10306543996558
dfx_dopri8_1e-6_tol,-0.301794881819751,0.1744763885496063,0.1714376052490224,11.667458177078515,2.4754802980460227,65.4132530830102,16.021371328039095
dfx_dopri5_1e-10_tol,-0.3017952225738204,0.1727675783305418,0.1714578408172185,13.723876332049258,7.658135498058982,69.35067354899365,55.58007863094099
dfx_dopri5_1e-5_tol,-0.3019534521768598,0.125480353818227,0.1824341819817138,13.208810580079444,1.2181332398904487,68.59315394097939,7.897203862085007
dfx_bosh3_1e-5_tol,-0.3018153674534541,0.1694349045236611,0.1709881703793464,14.56589156400878,1.3452643409837035,67.49337824003305,9.203190178028308
dfx_bosh3_1e-3_tol,-0.3026410055852632,0.2404885326163891,0.227069734281915,13.251592272077689,0.4923253840534016,68.67715096299071,2.9834415840450674
dfx_midpoint_1e-5_tol,-0.3037690758050313,1.2621510717759534,-0.8381627814106618,12.706279726000504,2.494926399900578,73.02453716599848,18.016433155047707
dfx_midpoint_1e-3_tol,-0.3944181131349647,3.0302100271131605,-1.1070862843232414,12.334571690997109,0.1659882989479228,71.05394095100928,0.9722910119453444
dfx_ralston_1e-5_tol,-0.3017660529053186,0.1692532276140958,0.1548458941884184,15.511191352037711,2.595528164994903,70.87499161693268,18.815897586056963
dfx_ralston_1e-3_tol,-0.3945048229319374,3.0226303852891947,-0.8918499503051514,12.142746613943018,0.1654808180173859,71.65319661900867,0.9736147340154276
dfx_heun_1e-5_tol,-0.3017964555684188,0.167826130635528,0.1714401489534445,13.156348124961369,2.710450774990022,70.98071597609669,19.36747033696156
dfx_heun_1e-3_tol,-0.301687120673579,0.061081253328226,0.179985798981655,16.360744192963466,0.4972688710549846,69.62535338301677,3.3216944549931213
dfx_euler_1e-2_steps,-1.4806875926978664,4.275929749783626,4.275874833704596,16.453815401997417,0.08686364302411675,50.766613735002466,0.3219906820449978
dfx_euler_1e-3_steps,-0.30394379236660285,2.862402925644351,-0.39148746233387544,12.95922200800851,0.6995311150094494,43.736063036019914,4.994701926014386
dfx_euler_3e-3_steps,-0.4903257928743431,1.2710031233451313,1.309687031051976,13.380765156936832,0.21306924091186374,44.32886811392382,1.3509734889958054
dfx_euler_1e-4_steps,-0.30890852636419047,0.12502575311561354,0.1268487993147438,13.41319037694484,7.637323732022196,45.73669973795768,57.63305222499184
